 #	days/landing	mean Res(mHz)	std Res(mHz)
    0.45384471     0.41197498     1.15155892
    2.52342804    -0.48158652     0.85767135
    3.53995582    -0.12992484     0.87082409
    4.59963175     0.48659102     1.28643098
    5.60576601     0.15767224     0.92410535
    6.62614795    -0.09224782     0.64191445
    7.66082388     0.08026342     0.55014986
    8.68122897     0.14945868     0.98241978
   10.74342805     0.06794243     0.84979946
   12.79920351     0.00526938     0.67788475
   13.83746740     0.21543105     0.31754300
   14.85157620     0.14247672     0.53900016
   15.87825444    -0.35843044     1.35921759
   17.93332388     0.23733505     0.84230599
   21.01951601     0.09310523     0.90516987
   26.15723592    -0.07653616     0.94563952
   27.19190027     0.34248458     0.79635774
   28.21589333    -0.64941316     0.91292035
   29.24342805     0.00813815     1.55229427
   30.27097435     0.34481579     0.96727723
   31.29938870     0.37755079     0.70462321
   32.34389102     0.07931387     0.95413609
   33.35715491     0.10577205     0.80187983
   34.40253685    -0.12709572     0.83831449
   35.43008315    -0.29916107     0.83567971
   36.44332389    -0.00538473     1.11691575
   37.47087019     0.07512023     1.62395949
   38.48056926     0.18675004     1.66926922
   39.54378685     0.37596235     0.46220849
   40.55774519     0.23173929     0.74235197
   41.58463176     0.47714283     0.42472944
   42.63357852    -0.12685756     0.34664432
   44.67080074    -0.17941600     0.64592026
   45.72333547     0.02283354     0.54666470
   46.72590491    -0.07605453     1.18312870
   49.80850908    -0.23324088     0.47899958
   50.83604380    -0.27211178     1.14998319
   51.86357852    -0.32704090     0.50130114
   52.89472436    -0.11231691     0.82142120
   54.97267575     1.05414255     1.09527652
   59.05997899     0.00263370     0.45157782
   62.14260630    -0.50574582     1.53265046
   63.17369427     0.41582027     0.77992798
   64.20124056    -0.62737327     1.35693597
   65.23591649    -0.76051450     1.91230681
   66.25988640     0.29683178     0.59599267
   68.31497899     0.08578554     1.86060263
   69.36392575    -0.43530409     1.97976225
   71.41900677    -0.07876460     1.40487189
   72.42583547    -0.13568974     1.63154391
   74.49808084    -0.04828883     0.87826779
   75.51490955     1.16176686     1.05707527
   76.53887946     0.63437159     0.71446178
   77.58855538     0.25140507     0.61647386
   78.61967807     0.22173740     0.69857747
   80.67546511    -0.47891709     0.52619403
   81.67729381    -1.86704466     0.74504183
   85.80103224    -0.57164798     1.43945421
   86.84284937    -0.44894514     0.69047199
   87.85256001    -0.01223586     0.30254678
   93.00115955     0.42250320     0.69817805
   94.04277992    -0.05826479     0.65717341
   98.12867113     0.11187915     1.26435286
   99.17335863     0.24426995     1.64007523
  100.17949289    -0.21222746     1.32197212
  101.21058085    -0.21266151     1.40393894
  102.23457391     0.20974116     0.60658274
  104.30392576     0.09063784     1.64867933
  105.33144891     0.02641214     1.34965041
  106.35544196     0.07851220     0.95868572
  108.43686557    -1.92040356     1.34515103
  110.46555770     0.58647537     1.32807154
  111.48599752    -0.07502382     0.85344485
  112.53297669     0.34976879     0.94606938
  117.68333548     0.70485630     1.35562157
  119.72772206    -0.12382137     0.49593926
  120.73384474     0.37735455     0.55968245
  122.81745585    -0.01195818     0.82739787
  123.84143733     0.13275059     0.83408546
  126.91691187    -0.01489270     1.49587578
  127.94802298    -0.21570370     0.59671629
  128.95772206     0.26177021     1.24944214
  129.99238641     0.24880443     0.99535662
  132.40992113    -0.08796754     1.76383937
  134.10609011     0.50642260     1.12404760
  135.15503687    -0.90160165     1.02326453
  136.16831233     0.09124556     1.03600641
  140.27487483     0.30519124     1.18606752
  141.29897206     0.63844953     0.98190236
  143.71495585    -0.14409958     0.95425685
  144.40298826    -0.36553569     1.49471296
  146.44378687    -0.24878779     0.54613171
  147.46916881     0.29467295     1.23862670
  149.86174983    -0.10606257     1.60692572
  151.57069659     0.28789698     0.71404694
  152.94790724    -0.33017519     0.72253365
  153.62580076     0.03664914     1.28396363
  157.74031465     0.05081180     0.80106246
  158.76702761     0.28545676     0.96923331
  160.14063872     0.13373034     1.65505082
  161.85318502    -0.47109146     1.68578279
  163.91180770     0.33650351     2.22883606
  164.93577761     0.44323765     0.66804160
  165.97044196    -0.18887460     1.44083821
  170.09110168     0.35036024     1.64642711
  171.10452761    -0.77617632     1.51453360
  173.15228224    -0.24312008     1.15641473
  175.20446974     0.48376779     1.63325622
  181.72941186     0.29161456     1.06263989
  183.44606696    -0.15133248     0.93184294
  185.84664566     0.26614179     0.72533281
  187.89797668    -0.42325732     0.62430816
  188.92563871     0.11766060     1.23463334
  197.17979380     0.50827484     1.64813648
  201.90850908     0.13675576     1.56394796
  207.45639102     0.69932601     1.45862985
  208.08893732    -0.71027170     1.62046206
  213.56981695     0.27775551     1.58435052
  216.66918037    -1.00408005     1.47460807
  217.67808083     0.36311110     1.61939750
  218.76618269    -1.03199741     1.81816081
  219.77942343     0.12513154     1.80466511
  220.76426139     0.11700665     1.77673769
  221.79170352     0.13776579     1.94416928
  222.83424981     1.01848198     1.27915841
  223.90016417    -0.10355624     1.65638856
  226.93281463    -0.73843251     1.41068312
  229.03414565    -0.58541608     1.64546746
  230.04752527     0.31821375     1.69052484
  231.08341648    -0.91795052     1.52190500
  236.08341648            nan            nan
  325.63680767    -0.03514288     1.90583257
  327.71242109     0.28065845     1.96055370
  328.71669193    -0.25863007     2.00929033
  332.84143730    -0.25603480     1.61588236
  333.85798822     1.55692751     1.27743230
  334.89840489    -0.54390519     1.25509631
  335.96492109     0.06590164     1.62422785
  341.07293035    -0.86415637     1.72677599
  342.10615952    -0.21167602     1.83331996
  343.08870582    -0.85016137     1.89756046
  345.15272202    -0.50919853     1.60533143
  346.18377526    -0.35020148     1.81163277
  349.32249054     1.04846526     1.44416844
  350.32244424    -0.46157050     1.00666534
  353.39868267     1.11361050     0.97744799
  357.49523360    -0.12938535     1.35893457
  360.62051138    -0.65810363     0.84975531
  362.62370582     0.02966742     0.98962314
  363.63413406    -0.64692412     1.35937162
  364.68628684     0.18506495     0.96006097
  365.70355536     0.78171639     1.84214687
  366.73477064     0.32431173     0.95519042
  367.78783777     0.07515135     1.52252650
  368.81796508     1.04870163     1.26243878
  371.87330073    -0.47981288     1.63360510
  372.91142573    -0.07680153     1.80146133
  373.95996740    -0.61528399     1.90942811
  374.99809240     0.19976097     0.88740130
  377.04578916     0.05229546     1.67691801
  378.05343962     0.00410772     1.68556370
  380.10899518    -0.52453209     1.65554199
  381.13607851     0.32482197     1.04337966
  382.16038407     0.00656820     1.37065660
  386.31655305     0.24898810     1.57040881
  387.33527990    -0.49885135     1.64207213
  391.44470120     0.57411796     0.95251655
  393.09727064     0.32618753     1.37645844
  395.15419194    -0.25829522     1.57693624
  398.61003685    -1.32046825     1.10082415
  399.61593963    -0.48563373     0.95784637
  401.31607852     0.63311339     0.89517403
  404.77966648    -0.01220924     1.58906003
  408.86246741     0.06129331     0.82213593
  410.60275676    -0.18187770     1.34364229
  411.60281463    -0.05800670     0.67586943
  412.62341648    -0.03190787     0.64469119
  415.05760630     0.44078856     1.43181988
  416.08607852     0.52816776     1.20426900
  417.11539565     0.58721922     1.19386279
  418.12641417     0.40231204     1.41609498
  419.81722436     0.15492323     0.98583908
  424.31001371     0.21219725     0.80678836
  426.36456232     0.74102094     0.93702578
  430.11769890    -0.13065424     1.74568165
  431.14690029    -0.39893544     1.53884869
  435.60899520    -0.02728275     0.54747407
  436.60898362    -0.49303591     0.69920728
  439.35641418     0.22500276     0.69944896
  440.37512946     0.30915437     0.84341577
  442.82566186    -0.38699992     0.74890661
  449.64302298    -0.23890363     0.91042720
  450.65218964    -0.32643804     0.57222916
  452.04966650    -0.10792123     0.66491321
  453.08859011     0.63442414     0.79351506
  454.10850909     0.01397013     1.51996524
  456.82699289    -0.18348220     1.22259154
  457.87980539    -0.40408349     0.36536397
  462.32427298    -0.26062103     1.34585402
  463.33607854    -0.30145950     0.98715906
  464.35126372    -0.14417409     1.23833967
  466.08654150     0.14041538     1.20519768
  467.11421511    -0.12797442     1.07694787
  470.56610168    -0.16502624     0.71639756
  474.30450446    -0.03671377     1.20637227
  475.31938872    -0.19037464     1.13372690
  477.38837020    -0.01019614     0.80693282
  483.59209706    -0.19839553     0.41187522
  486.63815030    -0.07825892     0.64915546
  488.02279150    -0.02534114     0.64120313
  489.04965493     0.19697942     1.76309014
  490.08074289     0.49787426     1.63716232
  491.77162252    -0.67533904     1.68998430
  492.80707391     0.10524266     0.87064937
  493.82781465     0.01346927     1.06749714
  494.85897206    -0.09770669     1.39164274
  497.29170354    -0.08410777     0.74054192
  498.33905307     0.55589497     1.09902675
  503.07963178     0.60111394     0.66445696
  507.22590493     0.14760336     1.19456512
  508.22773363     0.37359984     0.72156330
  509.24574289     0.33890506     0.51975489
  513.35730539    -0.05534648     0.67417396
  517.50277992    -0.18344054     0.67089200
  520.56571974    -0.19738957     1.03784945
  521.58147205    -0.17517631     0.52322940
  523.65156465     0.42172833     0.93860240
  524.67427298     0.61061700     0.55032221
  525.69857853    -0.48126032     0.97550887
  527.75109011    -0.03727817     0.74986889
  529.80968965     0.18662886     1.19568577
  530.86899520    -0.11256483     0.40626642
  531.89045353    -0.05191523     0.35349836
  533.92149520    -0.14000411     1.08778784
  534.97006001     0.07596183     1.01948591
  535.97345122     0.32978889     0.36192975
  537.01849751    -0.02749887     0.45304147
  538.03149520     0.62228612     0.86026945
  541.18482853     0.07648705     0.53774809
  542.16392575    -0.77401143     1.32793469
  546.27124057     0.10135024     0.71691626
  547.35100909    -0.40202951     1.79244401
  549.36044196    -0.27117254     0.59492142
  551.44790723    -0.02531356     0.93092912
  552.44783779     0.17715877     0.79177091
  554.48260631    -0.22830403     0.83794297
  556.55433084    -0.17255006     0.35595551
  560.67637945     0.08701295     0.32147284
  561.67287251    -0.25502207     0.59685532
  563.74477066    -0.25505918     1.00120688
  564.77245584     0.20340263     1.39303735
  566.82786093    -0.41594858     1.26988064
  567.85343964    -0.24622222     0.60224504
  568.89450445     0.10667256     0.40681068
  569.91526834     0.44838614     0.55357220
  570.99504843    -0.21279325     0.99598519
  571.96455075     0.91315215     1.12337912
  572.99061556     0.01371934     0.68398826
  575.10238639     0.11100126     0.92465987
  576.13703917     0.21281646     1.26930548
  577.12427297     0.08155001     0.84023956
  578.13052297     0.25001559     0.46160836
  580.17913408    -0.05248634     0.53655707
  582.23885630     0.09783808     0.82629586
  584.28924982     0.02197934     0.35760111
  585.36052296    -0.49393923     0.60109274
  586.34466648    -0.23062750     0.48164226
  588.41177296    -0.18381356     0.37808468
  589.45527991    -0.14664048     0.47641062
  590.46385629    -0.16142133     0.41113739
  591.51444657    -0.11763811     0.46496325
  595.59402990    -0.21505417     0.62110239
  596.62202759    -0.17834675     0.32976144
  597.65482851     0.33852037     0.60633281
  598.67843963     0.04727572     0.41750009
  600.76254842     0.01500769     1.44793123
  601.82973592    -0.00189364     0.29910850
  607.92310397    -0.07015991     1.53332979
  612.10686555     0.16565289     0.52521452
  614.17272203     0.08817362     0.75752264
  615.19348592     0.02904209     0.51107927
  617.23849749     0.13377311     0.25978002
  620.26426138    -0.02343355     0.47863381
  621.31118267     0.02587910     0.70487883
  622.69304610    -0.09529396     0.57052352
  623.73705073    -0.20153261     0.74204085
  624.74508314    -0.12432568     0.61208874
  628.49827758     0.12928830     0.31857286
  629.49493267    -0.25776297     0.52836930
  631.54324286     0.08759517     0.56283890
  632.57443499    -0.28855732     0.40307980
  636.04676137     0.14757489     0.51107438
  637.08462017     0.14037766     0.49055310
  639.75462017    -0.34002616     1.07230801
  641.81008313    -0.10966631     0.52584793
  643.21280304     0.01265979     0.22652621
  644.24053452     0.29536536     0.69158576
  645.26478221     0.04443811     0.46003682
  646.29788406     0.10484065     0.41873538
  647.98610165     0.60417119     0.83316687
  649.07712017     0.31771420     0.90499606
  650.01805767     0.07674210     0.64507343
  651.06604378    -0.05911945     0.34206392
  652.47288406    -0.29133450     0.59585850
  653.50320813    -0.22109262     0.29272717
  654.53121739    -0.27028158     0.46476837
  655.55521045    -0.30344351     0.25011628
  657.21176137     0.26711774     0.59632849
  658.23260628    -0.23080034     1.08654696
  659.25119424    -0.76409246     0.54409188
  663.75310396    -0.10824910     1.24099855
  664.78370581    -0.52857355     1.07248291
  666.45849748     0.05294986     0.22101210
  667.49001368    -0.05531126     0.23932069
  668.49665720    -0.22676256     0.30677873
  669.88899517     0.21733315     1.35163314
  671.94104378    -0.15347385     0.36159902
  676.06518730    -0.69449181     1.17531136
  678.73266415    -0.63232566     0.80049210
  680.85071970     0.76353706     0.73764834
  681.84724748     0.52156235     0.94235083
  682.84718961    -0.15252586     0.66961711
  683.86802294     0.10325995     0.92240246
  685.96187711    -0.13656565     0.53436273
  688.99301137    -0.74288305     0.44619300
  693.10777989    -0.48493366     0.54882580
  694.13563869     0.12517284     0.73979072
  695.16574285    -0.34072553     1.27209958
  696.20166878     0.04022340     0.21545336
  697.21212017    -0.29125221     0.25633402
  700.27178452    -0.70447779     0.34068731
  706.44686554    -0.17527851     0.89023159
  709.57172665     0.12380457     0.41054653
  711.57040721     0.30950879     0.42898095
  712.62949285     0.25018415     0.39293438
  713.61053452    -0.23397512     0.28508362
  717.75481693     0.53154064     0.77717190
  719.78590489     0.26074067     1.49206840
  723.90283776    -0.45050350     0.68570283
  725.96128684    -0.57552211     0.50016002
  728.01973591    -0.14304420     0.33345147
  729.00776832    -0.34255002     0.84900984
  731.06677295    -0.36504514     0.53852286
  734.15187712    -0.23389394     0.43321536
  735.19362480    -0.08495527     0.25405701
  736.17635629    -0.44208590     0.34490599
  738.27376369     0.02459650     1.35371910
  739.30031462     0.07888387     0.32550905
  742.33662249    -0.14193888     0.74536481
  743.43046508    -0.05561077     0.80828897
  745.49659934     0.56168800     0.41039226
  749.55255999     0.36662658     1.15571455
  754.71971277     0.17240914     0.39432713
  756.75695814     0.44607598     0.36521531
  758.81533777    -0.08685254     0.60470864
  760.83617111     0.25100414     0.55287947
  762.89464333    -0.03635247     0.77527103
  764.95316185    -0.07347402     0.35461618
  767.01166880    -0.08784347     0.38332562
  770.12151833    -0.39078174     1.23162981
  771.12874056     0.20993395     0.52325886
  773.22911093    -0.24047531     0.30236347
  774.21254843    -0.20361422     0.41728955
  775.28341648    -0.92381921     0.67010947
  777.28607852    -0.43930462     0.38734565
  779.31259473     0.50068226     0.67919970
  780.38975908     0.03194188     1.59627295
  782.40927297     0.25101796     0.44210093
  783.44069658     0.57637813     0.95969854
  784.46766417     0.04782428     0.82167402
  787.57739797     0.61087730     1.53997262
  797.19635631    -0.81742540     1.82927142
  801.92429612    -0.49790836     1.27904435
  808.13707390     0.30317954     0.61715377
  809.17137946    -0.92469906     0.78781690
  813.60381001     0.62622797     1.38204763
  816.31245585    -0.38166863     0.77666092
  818.38906464    -0.21620888     0.83818653
  823.88012946    -0.21348663     0.57416797
  831.08869428     0.08629961     0.56926616
  832.11631002    -0.03378377     0.83829058
  835.84850909     1.13944618     1.33049846
