t1                t2
2022-003T15:24:48 2022-003T16:24:48
2022-004T09:39:04 2022-004T10:39:04
2022-011T13:44:08 2022-011T14:44:08
2022-014T22:53:53 2022-014T23:53:53
2022-017T18:01:45 2022-017T19:01:45
2022-019T19:12:13 2022-019T20:12:13
2022-024T04:17:13 2022-024T05:17:13
2022-029T01:47:26 2022-029T02:47:26
2022-030T08:20:43 2022-030T09:20:43
2022-036T12:47:27 2022-036T13:47:27
2022-038T07:22:23 2022-038T08:22:23
2022-039T08:07:52 2022-039T09:07:52
2022-048T20:39:22 2022-048T21:39:22
2022-049T20:33:04 2022-049T21:33:04
2022-054T23:45:32 2022-055T00:45:32
2022-055T19:09:58 2022-055T20:09:58
2022-061T23:06:52 2022-062T00:06:52
2022-063T00:48:58 2022-063T01:48:58
2022-067T04:06:18 2022-067T05:06:18
2022-071T05:58:59 2022-071T06:58:59
2022-085T15:06:42 2022-085T16:06:42
2022-086T20:39:53 2022-086T21:39:53
2022-089T19:26:19 2022-089T20:26:19
2022-091T21:49:37 2022-091T22:49:37
2022-113T12:01:57 2022-113T13:01:57
2022-115T13:32:50 2022-115T14:32:50
2022-117T16:01:00 2022-117T17:01:00
2022-123T16:52:38 2022-123T17:52:38
2022-136T04:11:21 2022-136T05:11:21
2022-139T06:15:57 2022-139T07:15:57
2022-145T08:35:31 2022-145T09:35:31
2022-153T15:48:58 2022-153T16:48:58
2022-160T17:54:41 2022-160T18:54:41
2022-168T23:49:54 2022-169T00:49:54
2022-181T10:05:09 2022-181T11:05:09
2022-187T13:53:42 2022-187T14:53:42
2022-192T15:16:46 2022-192T16:16:46
2022-193T16:03:15 2022-193T17:03:15
2022-205T22:20:13 2022-205T23:20:13
2022-206T02:33:14 2022-206T03:33:14
2022-215T04:50:33 2022-215T05:50:33
2022-218T06:18:34 2022-218T07:18:34
2022-235T17:26:06 2022-235T18:26:06
2022-236T18:27:50 2022-236T19:27:50
2022-237T19:11:57 2022-237T20:11:57
2022-242T22:05:44 2022-242T23:05:44
2022-254T04:45:36 2022-254T05:45:36
2022-257T07:17:10 2022-257T08:17:10
2022-268T14:04:48 2022-268T15:04:48
2022-272T16:53:19 2022-272T17:53:19
2022-286T01:00:57 2022-286T02:00:57
2022-288T02:17:07 2022-288T03:17:07
2022-296T07:15:18 2022-296T08:15:18
2022-299T15:29:53 2022-299T16:29:53
2022-301T16:35:19 2022-301T17:35:19
2022-307T14:11:28 2022-307T15:11:28
2022-309T21:50:38 2022-309T22:50:38
2022-314T18:33:33 2022-314T19:33:33
2022-316T19:52:16 2022-316T20:52:16
2022-317T02:22:17 2022-317T03:22:17
2022-322T23:09:01 2022-323T00:09:01
2022-327T02:08:43 2022-327T03:08:43
2022-334T05:48:22 2022-334T06:48:22
2022-334T12:14:51 2022-334T13:14:51
2022-338T14:20:51 2022-338T15:20:51
2022-342T16:50:14 2022-342T17:50:14
2022-349T15:35:18 2022-349T16:35:18
2022-349T21:33:01 2022-349T22:33:01
2022-355T00:07:08 2022-355T01:07:08
2022-357T20:16:01 2022-357T21:16:01
2022-360T03:11:34 2022-360T04:11:34
2022-363T23:47:39 2022-364T00:47:39
2023-004T08:39:10 2023-004T09:39:10
2023-006T09:32:15 2023-006T10:32:15
2023-011T06:52:32 2023-011T07:52:32
2023-013T08:36:49 2023-013T09:36:49
2023-018T11:43:32 2023-018T12:43:32
2023-020T12:53:36 2023-020T13:53:36
2023-021T18:54:22 2023-021T19:54:22
2023-027T22:52:33 2023-027T23:52:33
2023-030T00:01:45 2023-030T01:01:45
2023-030T19:05:06 2023-030T20:05:06
2023-036T23:14:59 2023-037T00:14:59
2023-038T05:16:40 2023-038T06:16:40
2023-043T08:22:51 2023-043T09:22:51
2023-046T05:06:06 2023-046T06:06:06
2023-051T08:11:05 2023-051T09:11:05
2023-053T09:33:24 2023-053T10:33:24
2023-061T20:32:37 2023-061T21:32:37
2023-062T14:59:20 2023-062T15:59:20
2023-066T17:44:05 2023-066T18:44:05
2023-066T23:32:07 2023-067T00:32:07
2023-072T03:05:04 2023-072T04:05:04
2023-079T01:31:32 2023-079T02:31:32
2023-080T08:40:54 2023-080T09:40:54
2023-082T09:44:23 2023-082T10:44:23
2023-088T13:36:16 2023-088T14:36:16
2023-093T10:09:47 2023-093T11:09:47
2023-093T17:12:40 2023-093T18:12:40
2023-095T17:55:10 2023-095T18:55:10
2023-101T21:56:20 2023-101T22:56:20
2023-103T23:32:47 2023-104T00:32:47
2023-109T02:32:28 2023-109T03:32:28
2023-111T22:08:31 2023-111T23:08:31
2023-118T02:08:24 2023-118T03:08:24
2023-122T04:37:27 2023-122T05:37:27
2023-125T13:23:47 2023-125T14:23:47
2023-127T07:47:03 2023-127T08:47:03
2023-133T18:36:31 2023-133T19:36:31
2023-134T12:37:03 2023-134T13:37:03
2023-140T23:39:21 2023-141T00:39:21
2023-141T23:45:29 2023-142T00:45:29
2023-146T20:21:40 2023-146T21:21:40
2023-147T03:19:50 2023-147T04:19:50
2023-153T00:19:12 2023-153T01:19:12
2023-156T09:24:22 2023-156T10:24:22
2023-163T06:58:06 2023-163T07:58:06
2023-164T14:49:26 2023-164T15:49:26
2023-165T15:20:01 2023-165T16:20:01
2023-169T10:50:25 2023-169T11:50:25
2023-174T14:05:45 2023-174T15:05:45
2023-175T14:52:56 2023-175T15:52:56
2023-183T02:50:45 2023-183T03:50:45
2023-186T22:14:48 2023-186T23:14:48
2023-190T07:37:45 2023-190T08:37:45
2023-192T01:21:06 2023-192T02:21:06
2023-198T12:39:41 2023-198T13:39:41
2023-199T06:00:01 2023-199T07:00:01
2023-202T15:33:23 2023-202T16:33:23
2023-205T10:01:14 2023-205T11:01:14
2023-209T20:14:49 2023-209T21:14:49
2023-211T21:08:42 2023-211T22:08:42
2023-218T18:49:01 2023-218T19:49:01
2023-221T03:24:32 2023-221T04:24:32
2023-227T07:33:58 2023-227T08:33:58
2023-228T07:50:14 2023-228T08:50:14
2023-232T10:56:57 2023-232T11:56:57
2023-235T05:52:23 2023-235T06:52:23
2023-239T08:02:25 2023-239T09:02:25
2023-240T08:48:19 2023-240T09:48:19
2023-246T20:21:49 2023-246T21:21:49
2023-251T16:03:12 2023-251T17:03:12
2023-253T00:19:35 2023-253T01:19:35
2023-256T19:46:54 2023-256T20:46:54
2023-259T04:36:31 2023-259T05:36:31
2023-265T08:10:38 2023-265T09:10:38
2023-266T09:27:39 2023-266T10:27:39
2023-267T02:42:07 2023-267T03:42:07
2023-273T13:32:59 2023-273T14:32:59
